Component 1,Component 2,labels
20.402939,4.3543816,Fair
20.244205,5.09003,Fair
19.266748,3.4189844,Fair
18.3177,4.059983,Fair
30.942034,2.8158038,Fair
29.437866,1.6555046,Moderate
9.8714695,-9.368024,Fair
2.1590595,-4.866917,Fair
12.290816,18.651148,Fair
12.233872,17.301971,Fair
34.01518,21.085909,Moderate
4.5656266,15.121522,Moderate
-1.7016633,15.715752,Fair
3.0791402,10.815355,Fair
-1.846654,8.468177,Fair
0.28211975,13.681646,Fair
32.632774,17.140656,Fair
51.932713,-4.5978036,Moderate
41.14332,10.547681,Moderate
53.45311,13.437703,Moderate
47.71582,16.809298,Moderate
18.426777,14.639391,Moderate
14.566519,6.745122,Moderate
41.378883,20.43075,Fair
15.074778,7.5572543,Moderate
49.91211,17.412207,Fair
17.29931,12.027858,Poor
17.315042,13.236542,Fair
16.139446,13.141755,Fair
9.732445,2.3978107,Moderate
16.16781,10.509039,Fair
48.468433,-9.140328,Fair
47.508743,-9.31821,Moderate
40.15167,-8.1729355,Moderate
54.974834,5.6817603,Moderate
43.263844,5.1100845,Moderate
21.481524,-1.4611577,Moderate
10.670374,-11.687317,Fair
30.148243,4.159191,Fair
29.150494,0.99149555,Moderate
40.681713,12.538193,Fair
28.816795,1.3059942,Moderate
20.055782,-1.2001463,Fair
14.18875,4.2785916,Fair
11.416847,-6.2581162,Fair
20.819551,5.1091714,Fair
7.8248944,4.0920253,Fair
15.071769,12.4607725,Fair
14.765374,10.009955,Fair
16.00267,15.656633,Fair
2.6857092,5.9260945,Moderate
15.264304,10.566536,Fair
14.269031,9.460008,Fair
7.0149984,2.7482667,Fair
8.24332,4.6142874,Fair
52.659306,-13.280906,Fair
49.42626,-12.005886,Fair
48.74887,-11.879768,Moderate
57.913063,2.1817045,Moderate
53.757557,0.9252708,Moderate
30.787855,-16.112787,Moderate
14.590196,-11.6169815,Fair
40.178764,-7.6178126,Fair
30.87203,-16.649488,Moderate
42.16218,4.8180585,Fair
24.561157,0.7354439,Moderate
25.62583,2.4382963,Fair
26.001186,5.345302,Fair
24.816229,1.7320874,Fair
24.326387,3.7374187,Fair
-4.463853,-8.364962,Fair
6.0832925,16.99894,Fair
16.101711,-0.8315917,Fair
19.280054,19.600346,Fair
19.146769,-1.6875556,Moderate
-3.825623,5.275147,Fair
10.340855,-6.4371676,Fair
0.48313522,5.5005593,Fair
0.53528655,6.182617,Fair
40.793148,-23.691858,Fair
40.31589,-21.83401,Fair
32.490707,-23.328918,Fair
39.304314,-13.070824,Fair
31.178947,-17.49318,Fair
-14.724279,-21.798801,Fair
30.151722,-26.91187,Fair
36.2624,-22.083195,Fair
28.40476,-21.492983,Fair
16.067453,-5.1033244,Fair
6.217503,-18.929703,Fair
-4.8695474,-7.378009,Fair
1.1067227,-5.450092,Fair
-0.44106796,-7.4442086,Fair
-6.632289,-7.733138,Fair
20.582237,14.490825,Fair
11.958159,16.9407,Moderate
17.139399,16.243368,Moderate
17.487753,13.401644,Moderate
5.736179,-0.36368987,Fair
2.4311385,-12.392286,Fair
12.29499,5.752188,Fair
2.3831244,-12.140742,Fair
13.215464,7.7478995,Fair
5.736161,1.2954618,Fair
2.6586106,5.7464204,Fair
9.233778,3.2801857,Fair
-6.6297975,-2.703696,Fair
1.1477058,9.73741,Fair
-63.882286,-4.3870687,Fair
-64.76975,-4.7143707,Fair
-46.7473,-19.937305,Fair
-64.18905,-4.5728927,Fair
-46.984154,-19.803686,Fair
-64.68113,-5.693205,Fair
